iso3	population	country
UKR	44134693	Ukraine
UMI	300	United States Minor Outlying Islands
UNK	1775378	Kosovo
URY	3473727	Uruguay
USA	329484123	United States
UZB	34232050	Uzbekistan
VAT	451	Vatican City
VCT	110947	Saint Vincent and the Grenadines
VEN	28435943	Venezuela
VGB	30237	British Virgin Islands
VIR	106290	United States Virgin Islands
VNM	97338583	Vietnam
VUT	307150	Vanuatu
WLF	11750	Wallis and Futuna
WSM	198410	Samoa
YEM	29825968	Yemen
ZAF	59308690	South Africa
ZMB	18383956	Zambia
ZWE	14862927	Zimbabwe
